id,serp_topic_annotation,doc_id,doc_title,query,qid,judgement,actual_qrel_value,card_type,notes,interface_type,doc_browsing_time,doc_decision_time,doc_mark_item_time,topic_id,user,total_time
7034,497,12fb8a56-7f76-11e2-8074-b26a871b165a,‘Real Pirates’ exhibit visits National Geographic Museum, boats ships ilegally pirate,6,1,0,6,"Underwater explorer Barry Clifford and a team of divers found the wreckage in 1984 and have brought more than 200,000 artifacts to the surface. One of the early finds — a bell with the word Whydah etched into it — proved that the wreckage was Sam Bellamy’s pirate ship

A short movie introduces the former slave ship, which became a pirate ship in February 1717, when Bellamy captured it near the Bahamas.

The Whydah’s days of flying a Jolly Roger were numbered. On April 26, 1717, it sailed into a storm and sank, killing Bellamy and most of the crew.



",BASE_GOOGLE,61.22349786758423,29.434898853302,31.217870950698853,367,958,60.652769804000854
7033,497,334b80c94380304561fa091e386fc76a,"Harriet Tubman: Escaped slave, underground railroad leader, abolitionist. But did you know she also helped win the Civil War?", boats ships ilegally pirate,6,0,1,6,,BASE_GOOGLE,0.0,21.191885948181152,0.0,367,958,21.191885948181152
7032,497,6a7a71dd5bf5af8bd7bf1d4c1c87c22f,Why Nigeria’s election year may see a spike in pirate attacks, boats ships ilegally pirate,6,0,0,6,,BASE_GOOGLE,0.0,21.96104097366333,0.0,367,958,21.96104097366333
7031,497,098d3ea6-92c5-11e4-a412-4b735edc7175,"Migrant smugglers set ships on autopilot and vanish, leaving them to beach in Europe", boats ships ilegally pirate,6,1,1,6,"In the latest incident, the cargo ship Ezadeen was stopped with about 450 migrants aboard after smugglers sent it toward Italy’s coast in rough seas with no crew

",BASE_GOOGLE,45.91765594482422,21.384148120880127,24.335642099380493,367,958,45.71979022026062
7030,497,719c8ac740c1641eb7b87b9c89ee908f,Pirates get booty in European Court of Human Rights, pirates,2,0,1,6,,BASE_GOOGLE,0.0,13.746793031692505,0.0,367,958,13.746793031692505
7029,497,057faa18-a526-11e1-853a-2d746a04dab9,No title was available, pirates,2,0,1,6,,BASE_GOOGLE,0.0,22.012446880340576,0.0,367,958,22.012446880340576
7028,497,e42e3e32a9f5808f9a08444a71e1ce4d,"Road building, not state building, can solve the Somali pirate problem", pirates,2,0,0,6,,BASE_GOOGLE,0.0,20.084734201431274,0.0,367,958,20.084734201431274
7027,497,0b0b41ca-22b9-11e2-ac85-e669876c6a24,Search continues for HMS Bounty’s captain after an encounter wth Hurricane Sandy, pirates board ship,1,0,0,6,,BASE_GOOGLE,0.0,1.6736650466918943,0.0,367,958,1.6736650466918943
7026,497,bcca06a4-1a2e-11e3-8685-5021e0c41964,It was a long voyage that took Vince Tran from Vietnam to his own 7-Eleven in Arlington, pirates board ship,1,0,1,6,,BASE_GOOGLE,0.0,24.296125888824463,0.0,367,958,24.296125888824463
7025,497,5e4f6968-2788-11e3-9372-92606241ae9c,U.S. Greenpeace captain is jailed in Russia, pirates board ship,1,1,0,6,"Russia detained two activists on the rig Sept. 19 and seized the ship in the Pechora Sea on Sept. 20, towing it to Murmansk, where it arrived Tuesday. Conviction on piracy charges could bring up to 15 years in jail.
",BASE_GOOGLE,26.349793910980225,22.551449060440063,3.610809087753296,367,958,26.16225814819336
