id,serp_topic_annotation,distracting,liked_engine,felt_productive,overall_satisfaction,mentally_taxing,interface_type,interface_feedback_time,topic_id,user
404,497,3,2,3,2,4,BASE_GOOGLE,14.830241918563845,367,958
403,494,5,3,4,3,4,BASE_GOOGLE,24.370821952819824,408,958
402,493,6,1,1,1,6,BASE_TIS,21.470271825790405,341,940
401,496,3,4,5,5,3,BASE_GOOGLE,20.426913022994995,408,928
400,495,1,4,4,5,3,BASE_TIS,16.246325969696045,408,957
399,444,4,5,6,5,3,BASE_GOOGLE,23.796417951583862,341,928
398,492,1,5,6,6,2,BASE_GOOGLE,13.033315181732178,408,951
397,486,2,4,2,4,2,BASE_TIS,25.32177782058716,341,957
396,489,1,6,5,5,1,BASE_TIS,17.763270139694214,367,945
395,490,4,3,6,4,5,BASE,28.648627042770386,408,949
394,456,5,2,1,2,4,BASE_TIS,55.4838809967041,408,940
393,468,1,6,6,6,1,BASE_GOOGLE,21.6541531085968,363,951
392,491,6,6,6,6,6,BASE_GOOGLE,8.497809886932373,341,938
391,487,3,3,3,2,3,BASE,10.77478289604187,341,937
390,487,3,3,3,2,3,BASE,10.520478963851929,341,937
389,488,2,5,5,5,2,BASE_GOOGLE,10.459925889968872,341,953
388,483,4,2,3,4,2,BASE,16.96874499320984,341,952
387,454,4,4,4,4,4,BASE_GOOGLE,28.63323402404785,363,938
386,465,4,3,4,3,5,BASE,31.80768704414368,363,949
385,481,6,2,3,2,6,BASE_TIS,9.731040000915527,363,947
384,484,5,2,1,2,6,BASE,11.104465007781982,408,955
383,482,4,4,3,3,4,BASE_GOOGLE,11.687885999679564,367,954
382,476,3,5,6,5,6,BASE,15.120781898498535,363,932
381,477,2,2,4,4,1,BASE_GOOGLE,13.18635392189026,341,930
380,461,1,5,4,5,1,BASE_TIS,22.100518941879272,341,945
379,470,3,5,5,5,3,BASE_GOOGLE,19.64322781562805,367,953
378,453,2,3,4,3,3,BASE,30.784498929977417,367,937
377,480,4,4,3,3,5,BASE,8.547076940536499,341,955
376,469,4,2,3,4,5,BASE,27.08380103111267,408,952
375,471,5,2,3,3,5,BASE_GOOGLE,16.58084201812744,363,954
374,478,1,5,5,5,1,BASE_GOOGLE,8.396683931350708,408,935
373,474,2,5,5,5,2,BASE_TIS,19.761314153671265,363,939
372,463,5,2,2,2,6,BASE_TIS,11.822744131088257,341,947
371,475,2,2,4,4,2,BASE_GOOGLE,13.769021034240724,408,936
370,473,2,4,4,5,2,BASE,16.82271909713745,341,946
369,472,3,4,4,4,3,BASE_GOOGLE,13.177073001861572,408,929
368,449,2,3,2,3,5,BASE_TIS,20.8193199634552,341,933
367,451,2,5,5,5,1,BASE_GOOGLE,13.556833982467651,363,935
366,446,2,2,4,3,1,BASE_GOOGLE,19.544793128967285,367,930
365,448,1,6,5,5,6,BASE,19.39763307571411,367,932
364,467,2,3,5,6,1,BASE,15.823046922683716,363,931
363,452,2,2,1,3,2,BASE_GOOGLE,22.292216062545776,367,936
362,455,2,5,5,5,2,BASE_TIS,22.968416929244995,408,939
361,462,3,4,4,4,3,BASE,19.704417943954468,363,946
360,445,3,3,3,3,5,BASE_GOOGLE,25.98771405220032,367,929
359,447,1,4,6,6,1,BASE,15.45803713798523,408,931
358,440,5,3,4,4,4,BASE_WAPO,8.119961977005005,408,923
357,423,3,4,3,4,4,BASE_WAPO,20.881104946136475,341,923
356,439,5,3,4,4,3,BASE_WAPO,14.656705141067505,408,922
355,422,5,2,2,3,4,BASE_WAPO,16.596622943878174,341,922
354,438,2,4,4,3,4,BASE_WAPO,31.94892907142639,367,909
353,437,2,4,4,4,2,BASE_WAPO,15.945900917053224,363,924
352,436,2,4,3,4,2,RAND,19.002174139022827,408,920
351,395,3,4,3,3,5,BASE_WAPO,45.26624298095703,363,909
350,434,1,2,3,2,2,BASE_WAPO,15.508913040161133,367,910
349,424,2,4,4,4,2,BASE_WAPO,24.988417863845825,408,924
348,432,2,4,3,3,4,BASE_WAPO,20.27663493156433,341,896
347,435,3,4,4,5,3,RAND,16.23625683784485,367,918
