id,serp_topic_annotation,doc_id,query,qid,rank,original_rank,click,time_spent,judgement,actual_qrel_value,card_type,interface_type,topic_id,user,ndcg_10,cards_shown
27592,497,aa50db188dc122de8c9312ec7df85560, boats ships ilegally pirate,6,48,7,0,0.0,0,0,6,BASE_GOOGLE,367,958,0.2385024498843459,6
27591,497,dd56f4fdee6a8747a33a2e14ab3fae60, boats ships ilegally pirate,6,47,37,0,0.0,0,0,6,BASE_GOOGLE,367,958,0.2385024498843459,6
27590,497,672912a63e56729672669f5eca74688a, boats ships ilegally pirate,6,43,42,0,0.0,0,0,6,BASE_GOOGLE,367,958,0.2385024498843459,6
27589,497,289c13b6-921f-11e1-803f-df78569168e8, boats ships ilegally pirate,6,39,30,0,0.0,0,0,6,BASE_GOOGLE,367,958,0.2385024498843459,6
27588,497,6b56f2c8-0f0d-11e7-9d5a-a83e627dc120, boats ships ilegally pirate,6,37,44,0,0.0,0,0,6,BASE_GOOGLE,367,958,0.2385024498843459,6
27587,497,334b80c94380304561fa091e386fc76a, boats ships ilegally pirate,6,35,45,1,0.008,0,1,6,BASE_GOOGLE,367,958,0.2385024498843459,6
27586,497,003bb6c325f64e2dd4a153578c096b81, boats ships ilegally pirate,6,34,23,0,0.0,0,0,6,BASE_GOOGLE,367,958,0.2385024498843459,6
27585,497,04eec65313678b6bb9fb02c15b110b12, boats ships ilegally pirate,6,31,35,0,0.0,0,0,6,BASE_GOOGLE,367,958,0.2385024498843459,6
27584,497,b5419506d93a16bf36aaf99483702a01, boats ships ilegally pirate,6,29,41,0,0.0,0,1,6,BASE_GOOGLE,367,958,0.2385024498843459,6
27583,497,4918296ea0751b8c9e9ac98d39664235, boats ships ilegally pirate,6,28,48,0,0.0,0,1,6,BASE_GOOGLE,367,958,0.2385024498843459,6
27582,497,eb5552ea-250b-11e6-8690-f14ca9de2972, boats ships ilegally pirate,6,26,22,0,0.0,0,1,6,BASE_GOOGLE,367,958,0.2385024498843459,6
27581,497,dd4584494f0ec18ba05034245acb6623, boats ships ilegally pirate,6,25,19,0,0.0,0,0,6,BASE_GOOGLE,367,958,0.2385024498843459,6
27580,497,c3d9c68c-a1c6-11e6-b74c-603fd6bbc17f, boats ships ilegally pirate,6,24,36,0,0.0,0,0,6,BASE_GOOGLE,367,958,0.2385024498843459,6
27579,497,348794b0-5c23-11e7-aa69-3964a7d55207, boats ships ilegally pirate,6,23,13,0,0.0,0,0,6,BASE_GOOGLE,367,958,0.2385024498843459,6
27578,497,18636951036b3f4977031177c01fcef7, boats ships ilegally pirate,6,22,29,0,0.0,0,0,6,BASE_GOOGLE,367,958,0.2385024498843459,6
27577,497,da19cf02-f0ef-11e4-a55f-38924fca94f9, boats ships ilegally pirate,6,21,31,0,0.0,0,1,6,BASE_GOOGLE,367,958,0.2385024498843459,6
27576,497,13c6ddfe8e78011931b871614d9b16e3, boats ships ilegally pirate,6,20,17,0,0.0,0,0,6,BASE_GOOGLE,367,958,0.2385024498843459,6
27575,497,51af42e84a45f6519ca4ecccbfa90ba5, boats ships ilegally pirate,6,18,26,0,0.0,0,1,6,BASE_GOOGLE,367,958,0.2385024498843459,6
27574,497,c7bc9040-e697-11e4-8581-633c536add4b, boats ships ilegally pirate,6,17,38,0,0.0,0,1,6,BASE_GOOGLE,367,958,0.2385024498843459,6
27573,497,4a3254de-2c4e-11e3-97a3-ff2758228523, boats ships ilegally pirate,6,14,32,0,0.0,0,1,6,BASE_GOOGLE,367,958,0.2385024498843459,6
27572,497,8c48d298-0c95-11e5-a7ad-b430fc1d3f5c, boats ships ilegally pirate,6,13,27,0,0.0,0,0,6,BASE_GOOGLE,367,958,0.2385024498843459,6
27571,497,07c6981623803049758ffee1eb154f24, boats ships ilegally pirate,6,12,24,0,0.0,0,1,6,BASE_GOOGLE,367,958,0.2385024498843459,6
27570,497,89917702-f3e2-11e3-914c-1fbd0614e2d4, boats ships ilegally pirate,6,10,39,0,0.0,0,0,6,BASE_GOOGLE,367,958,0.2385024498843459,6
27569,497,d54fc064-06d7-11e5-a428-c984eb077d4e, boats ships ilegally pirate,6,9,43,0,0.0,0,0,6,BASE_GOOGLE,367,958,0.2385024498843459,6
